-4.45111 , 2.38332,

-4.61824 , 2.55808,

-4.31789 , 2.40037,

-4.51515 , 2.33538,

-4.62428 , 2.26957,

-4.47460 , 2.26048,

-4.65371 , 2.25724,

-4.66710 , 2.28389,

-4.46803 , 2.28321,

-4.50166 , 2.24865,

-4.66595 , 2.25607,

-4.44811 , 2.26539,

-4.47346 , 2.28035,

-4.41153 , 2.27091,

-4.50120 , 2.23402,

-4.47541 , 2.25772,

-4.64347 , 2.24081,

-4.61215 , 2.29533,

-4.65165 , 2.25830,

-4.49256 , 2.25302,

-4.41834 , 2.24305,

-4.49011 , 2.24740,

-4.46726 , 2.34561,

-4.59379 , 2.24129,

-4.66729 , 2.26251,

-4.46984 , 2.25296,

-4.57625 , 2.26697,

-4.64813 , 2.40446,

-4.57952 , 2.34688,

-4.51108 , 2.28327,

-4.32244 , 2.32791,

-4.49355 , 2.33377,

-4.64013 , 2.30734,

-4.60130 , 2.36740,

-4.47325 , 2.25761,

-4.50151 , 2.28717,

-4.63306 , 2.25887,

-4.48372 , 2.28685,

-4.63533 , 2.32417,

-4.66901 , 2.30858,

-4.44911 , 2.28464,

-4.59882 , 2.28453,

-4.58855 , 2.26094,

-4.61383 , 2.27667,

-4.45757 , 2.31973,

-4.61298 , 2.26009,

-4.61484 , 2.27851,

-4.62077 , 2.25649,

-4.64991 , 2.32493,

-4.41966 , 2.24951,

