-4.68765 ; 2.67603

-4.64590 ; 2.46637

-4.68765 ; 2.43631

-4.68684 ; 2.48048

-4.68146 ; 2.60068

-4.68325 ; 2.57557

-4.68705 ; 2.63540

-4.67099 ; 2.61575

-4.64090 ; 2.72132

-4.64589 ; 2.60579

-4.64099 ; 2.50151

-4.64149 ; 2.50797

-4.68757 ; 2.51816

-4.68765 ; 2.50058

-4.68765 ; 2.43094

-4.68586 ; 2.45573

-4.68757 ; 2.67146

-4.64589 ; 2.49724

-4.68146 ; 2.45735

-4.68146 ; 2.44548

-4.52267 ; 2.44001

-4.68593 ; 2.58996

-4.68707 ; 2.61913

-4.67854 ; 2.58710

-4.63976 ; 2.54410

-4.68585 ; 2.60261

-4.68146 ; 2.78626

-4.68759 ; 2.65746

-4.68765 ; 2.67760

-4.57300 ; 2.66319

-4.68765 ; 2.66703

-4.64589 ; 2.60839

-4.68122 ; 2.72209

-4.64550 ; 2.64511

-4.68763 ; 2.71757

-4.68714 ; 2.59368

-4.64583 ; 2.65421

-4.64355 ; 2.50804

-4.64292 ; 2.58370

-4.68554 ; 2.58667

-4.68258 ; 2.48502

-4.68706 ; 2.58344

-4.64149 ; 2.55521

-4.53325 ; 2.58117

-4.68758 ; 2.53375

-4.68765 ; 2.47526

-4.52297 ; 2.55894

-4.68765 ; 2.51794

-4.68765 ; 2.50409

-4.68703 ; 2.51762

